wavelength,illuminantC,xBar,yBar,zBar
642,87.876,0.412098,0.1596464,1.62e-05
643,87.914,0.394644,0.1522776,1.42e-05
644,87.952,0.3775333,0.1451259,1.213333e-05
645,87.99,0.3608,0.1382,1e-05
646,88.032,0.3444563,0.1315003,7.733333e-06
647,88.074,0.3285168,0.1250248,5.4e-06
648,88.116,0.3130192,0.1187792,3.2e-06
649,88.158,0.2980011,0.1127691,1.333333e-06
650,88.2,0.2835,0.107,0
651,88.2,0.2695448,0.1014762,0
652,88.2,0.2561184,0.09618864,0
653,88.2,0.2431896,0.09112296,0
654,88.2,0.2307272,0.08626485,0
655,88.2,0.2187,0.0816,0
656,88.14,0.2070971,0.07712064,0
657,88.08,0.1959232,0.07282552,0
658,88.02,0.1851708,0.06871008,0
659,87.96,0.1748323,0.06476976,0
660,87.9,0.1649,0.061,0
661,87.764,0.1553667,0.05739621,0
662,87.628,0.14623,0.05395504,0
663,87.492,0.13749,0.05067376,0
664,87.356,0.1291467,0.04754965,0
665,87.22,0.1212,0.04458,0
666,87.036,0.1136397,0.04175872,0
667,86.852,0.106465,0.03908496,0
668,86.668,0.09969044,0.03656384,0
669,86.484,0.09333061,0.03420048,0
670,86.3,0.0874,0.032,0
671,86.1,0.08190096,0.02996261,0
672,85.9,0.07680428,0.02807664,0
673,85.7,0.07207712,0.02632936,0
674,85.5,0.06768664,0.02470805,0
675,85.3,0.0636,0.0232,0
676,85.04,0.05980685,0.02180077,0
677,84.78,0.05628216,0.02050112,0
678,84.52,0.05297104,0.01928108,0
679,84.26,0.04981861,0.01812069,0
680,84,0.04677,0.017,0
681,83.642,0.04378405,0.01590379,0
682,83.284,0.04087536,0.01483718,0
683,82.926,0.03807264,0.01381068,0
684,82.568,0.03540461,0.01283478,0
685,82.21,0.0329,0.01192,0
686,81.808,0.03056419,0.01106831,0
687,81.406,0.02838056,0.01027339,0
688,81.004,0.02634484,0.009533311,0
689,80.602,0.02445275,0.008846157,0
690,80.2,0.0227,0.00821,0
691,79.808,0.02108429,0.007623781,0
692,79.416,0.01959988,0.007085424,0
693,79.024,0.01823732,0.006591476,0
694,78.632,0.01698717,0.006138485,0
695,78.24,0.01584,0.005723,0
696,77.852,0.01479064,0.005343059,0
697,77.464,0.01383132,0.004995796,0
698,77.076,0.01294868,0.004676404,0
699,76.688,0.0121292,0.004380075,0
700,76.3,0.01135916,0.004102,0
701,75.912,0.01062935,0.003838453,0
702,75.524,0.009938846,0.003589099,0
